Epochs,Training Accuracy,Validation Accuracy
1,0.0,0.0
2,57.69548783368769,60.49149338374291
3,68.72785258681786,74.95274102079395
4,74.50389794472005,78.44990548204159
5,77.75218521143397,79.34782608695652
6,80.25631939522798,83.17580340264651
7,82.44153082919915,81.04914933837429
8,83.78809355067328,85.82230623818525
9,85.34136546184739,85.06616257088847
10,86.20363808173872,86.2476370510397
11,87.82778171509568,85.01890359168242
