Epochs,Training Loss,Validation Loss
1,1.3732736807694088,0.8742440777825498
2,0.8800490054570556,2.3255954291284198
3,0.6712215826242719,0.6706176105259948
4,0.5623566780196221,0.4740045706693977
5,0.5032868250982716,0.6036758086237429
6,0.44111220120764105,0.3517946508802854
7,0.40425072433398374,0.34902429432803606
8,0.3784632752923405,0.3887801673298522
9,0.35180904889272907,0.27386282570308007
10,0.3236003084534622,0.36709966979540587
