Epochs,Training Accuracy,Validation Accuracy
1,62.839593668792816,75.89792060491493
2,73.95464209780297,79.25330812854442
3,78.34278289629104,84.40453686200378
4,81.62060004724782,85.39697542533081
5,82.77226553271912,86.29489603024575
6,84.66217812426176,87.85444234404537
7,86.20363808173872,87.52362948960302
8,86.93007323411292,87.85444234404537
9,87.88684148358138,90.12287334593573
10,88.70186628868414,89.13043478260869
